Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Dominican Republic,7.010597728,6.715354091,5.656604877,1.809229488,5.788207316,-0.25335881,1.31195822,9.262750074,10.67115484,8.47462478,3.143711459,0.935781292,8.302152802,2.820884489,2.629506212,4.777741911,7.340878365,6.953313621
Algeria,5.100003609,3.200001553,3.8,3,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.9,3.4,2.8,3.8,3.9
East Asia & Pacific (excluding high income),1.73522492,6.056473018,7.440286105,6.659415346,7.812095003,8.68737162,8.869768583,9.647140553,10.7171969,12.12636721,8.407978346,7.549292177,9.772136875,8.441376602,7.42911771,7.136696214,6.722531263,6.460260277
Early-demographic dividend,1.804997842,1.850099762,4.467280305,1.186469894,1.787803632,4.462874483,6.820972738,6.571983239,6.629512756,6.458447653,3.773855164,1.108954959,6.534086179,5.130811272,4.072520474,3.802618443,3.647164752,4.116106661
East Asia & Pacific,-0.56881502,3.040031051,4.639429579,2.685488306,3.727962042,4.368000401,5.252258784,4.921757765,5.710172729,6.71430617,3.581443365,1.322244921,7.265423023,4.521181451,4.721651041,4.514780252,3.996192527,3.885800106
Europe & Central Asia (excluding high income),-1.780784652,2.189378453,8.065300849,2.793271459,5.404817256,6.757866501,8.195589377,6.96301574,8.089460291,7.650890767,4.381207012,-6.123475798,5.371778751,5.343055304,2.850857383,2.612604092,1.55474832,-0.654397251
Europe & Central Asia,2.512343443,2.900080493,4.31979344,2.2486574,1.720242869,1.858776155,3.226914306,2.716847789,3.953990667,3.719613227,1.016887441,-4.501359154,2.568246402,2.277917313,0.127501391,0.597924757,1.408720444,1.482482368
Ecuador,3.266529404,-4.739385791,1.091801564,4.0156299,4.096776659,2.722877337,8.211020917,5.291308267,4.403526434,2.190063972,6.3571306,0.566491592,3.525298669,7.868140919,5.641962067,4.553575531,3.67498214,0.290361073
"Egypt, Arab Rep.",4.036367066,6.105460399,5.368005967,3.535225676,2.370489108,3.193454733,4.091919181,4.471352753,6.842960587,7.088015957,7.152051034,4.685445188,5.139126087,1.816646644,2.193878354,2.106724617,2.228791014,4.2
Euro area,2.971069358,2.988043153,3.867451136,2.159607955,1.015048192,0.724737973,2.288948787,1.702117558,3.24622867,3.055738239,0.475425069,-4.542265901,2.065151634,1.594780569,-0.880979902,-0.320545577,0.896985954,1.656874866
